id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
1060	Rhodobacter	genus	18.389119524523554	17.775038320487457	18.516626053959985	18.443969023990395	17.47631499198801	18.364105322601617	18.543437581604085	18.723044604000766	18.798595771051712	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1063	Rhodobacter sphaeroides	species	17.81705457323935	16.090080570827038	16.51367501729588	16.65497300210613	16.833932704210927	18.31885522328758	18.40301826676035	18.592400826896146	18.592202978167425	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
1224	Proteobacteria	phylum	34.13048336704404	34.07366885970111	34.16109618816441	33.99662948129225	34.027156390822626	34.18652446283061	34.25242477738785	34.10096712329624	34.22449790196664	20522.0	20755.0	20326.0	20492.0	20409.0	20349.0	19831.0	20225.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
1231	Nitrosospira multiformis	species	23.435679569042804	23.105253622641268	23.026160295178318	23.44069465597265	23.206004126177053	23.427821596105094	23.959168085901194	23.71814584913472	23.357493613183625	19.0	21.0	19.0	21.0	20.0	19.0	20.0	20.0	NA	NA	NA	NA	NA	NA	NA	NA
1236	Gammaproteobacteria	class	32.746790675812946	32.58183377238311	32.98271501125353	32.51846341108881	32.66275018712084	32.668505867411696	33.02667647706374	32.585142534363044	32.855232123321755	8519.0	8726.0	8438.0	8616.0	8427.0	8564.0	8227.0	8458.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
1239	Firmicutes	phylum	30.595953091035593	30.575296896537328	30.644170489145214	30.655261447446176	30.58241740498593	30.503461890813085	30.53491324423907	30.603938819183835	30.660251112371853	1710.0	1739.0	1714.0	1727.0	1710.0	1705.0	1673.0	1687.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
1279	Staphylococcus	genus	29.69682028142908	29.67828212363318	29.610814736919316	29.74760950773626	29.657700627688712	29.71550518881022	29.631938726544135	29.750741598488023	29.773266722156833	1021.0	1047.0	1034.0	1043.0	1027.0	1027.0	1010.0	1019.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
1280	Staphylococcus aureus	species	28.122513890537547	28.143229058373546	27.984945542808642	28.12557356591301	28.073958383002786	28.186697885217562	28.060583173451175	28.170214986822167	28.22062276430103	325.0	328.0	330.0	333.0	332.0	330.0	321.0	325.0	NA	NA	NA	NA	NA	NA	NA	NA
1297	Deinococcus-Thermus	phylum	30.252224525713647	30.02393181141789	30.014608327932322	30.27518653581887	30.232399576528323	30.190235985196356	30.30182122913575	30.467938681047315	30.443303448903983	1735.0	1741.0	1733.0	1729.0	1710.0	1736.0	1710.0	1721.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1385	Bacillales	order	29.97793224291484	29.96970888887554	29.929426844530976	29.994963999937944	29.98253396874931	29.963115679247426	29.89495333371623	30.01403271804277	30.06803858450744	1178.0	1203.0	1186.0	1202.0	1181.0	1181.0	1166.0	1173.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
