uniprot_accession	ups1_amount_fmol	ups2_amount_fmol	go
Q15843	5000	500	GO:0005634,GO:0005654,GO:0005829,GO:0006357,GO:0006464,GO:0006508,GO:0006511,GO:0006879,GO:0008104,GO:0009653,GO:0014070,GO:0016579,GO:0031625,GO:0043687,GO:0045116,GO:0070062
P02753	5000	500	GO:0001523,GO:0001654,GO:0005576,GO:0005615,GO:0005829,GO:0006094,GO:0007507,GO:0007601,GO:0016918,GO:0019841,GO:0030277,GO:0030324,GO:0032024,GO:0032526,GO:0032991,GO:0034632,GO:0034633,GO:0042572,GO:0042593,GO:0045471,GO:0046982,GO:0048562,GO:0048706,GO:0048738,GO:0048807,GO:0051024,GO:0060044,GO:0060059,GO:0060065,GO:0060068,GO:0060157,GO:0060347,GO:0070062
P16083	5000	500	GO:0001512,GO:0005654,GO:0005829,GO:0006805,GO:0008270,GO:0009055,GO:0016491,GO:0016661,GO:0031404,GO:0042803,GO:0055114,GO:0070062,GO:0071949,GO:1904408,GO:1905594
P63279	5000	500	GO:0000122,GO:0000795,GO:0003723,GO:0005524,GO:0005634,GO:0005635,GO:0005654,GO:0005737,GO:0005829,GO:0006464,GO:0006511,GO:0007049,GO:0007059,GO:0008134,GO:0016032,GO:0016567,GO:0016605,GO:0016925,GO:0019789,GO:0019899,GO:0043123,GO:0043398,GO:0044388,GO:0045892,GO:0051301,GO:0061656,GO:0071535,GO:1903755,GO:1990234,GO:1990356
P01008	5000	50	GO:0002020,GO:0002438,GO:0004867,GO:0005576,GO:0005615,GO:0005788,GO:0005886,GO:0007584,GO:0007595,GO:0007596,GO:0008201,GO:0042802,GO:0043687,GO:0044267,GO:0062023,GO:0070062,GO:0072562,GO:2000266
P61769	5000	50	GO:0000139,GO:0001895,GO:0001916,GO:0002237,GO:0002474,GO:0002479,GO:0002480,GO:0002481,GO:0002726,GO:0003254,GO:0005576,GO:0005615,GO:0005788,GO:0005794,GO:0005829,GO:0005886,GO:0005925,GO:0009897,GO:0010977,GO:0012507,GO:0016020,GO:0019731,GO:0019885,GO:0030670,GO:0031901,GO:0031905,GO:0032092,GO:0033077,GO:0033216,GO:0035580,GO:0042026,GO:0042493,GO:0042612,GO:0042802,GO:0043312,GO:0044267,GO:0045087,GO:0045646,GO:0046686,GO:0048260,GO:0050690,GO:0050776,GO:0050829,GO:0050830,GO:0055038,GO:0055072,GO:0060333,GO:0061844,GO:0070062,GO:0071222,GO:0071281,GO:0071283,GO:1900121,GO:1900122,GO:1900390,GO:1904434,GO:1904437,GO:1904724,GO:1990712
P55957	5000	50	GO:0001836,GO:0005123,GO:0005739,GO:0005741,GO:0005829,GO:0006626,GO:0006919,GO:0008625,GO:0008637,GO:0010918,GO:0016020,GO:0031625,GO:0032461,GO:0032464,GO:0032592,GO:0042127,GO:0042770,GO:0042775,GO:0042981,GO:0043065,GO:0043066,GO:0046982,GO:0051260,GO:0051402,GO:0090150,GO:0090200,GO:0097284,GO:0097345,GO:1900740,GO:1901030,GO:1902230,GO:2000045,GO:2000271,GO:2001238,GO:2001244
O76070	5000	50	GO:0005737,GO:0005815,GO:0005819,GO:0007268,GO:0008344,GO:0009306,GO:0014059,GO:0030424,GO:0043025,GO:0046928,GO:0048471,GO:0050808,GO:0070062
P08263	5000	50	GO:0004364,GO:0004602,GO:0005829,GO:0006749,GO:0030855,GO:0043651,GO:0070062,GO:1901687
P01344	5000	50	GO:0000122,GO:0001501,GO:0001649,GO:0001701,GO:0001892,GO:0001934,GO:0002576,GO:0005158,GO:0005159,GO:0005178,GO:0005179,GO:0005576,GO:0005615,GO:0006006,GO:0006349,GO:0006355,GO:0007275,GO:0008083,GO:0008284,GO:0008286,GO:0009887,GO:0031017,GO:0031056,GO:0031093,GO:0038028,GO:0040018,GO:0042104,GO:0043085,GO:0043410,GO:0043539,GO:0044267,GO:0045725,GO:0045840,GO:0045944,GO:0046628,GO:0048018,GO:0050731,GO:0051146,GO:0051147,GO:0051781,GO:0051897,GO:0060669,GO:2000467
P01127	5000	50	GO:0000139,GO:0000165,GO:0001892,GO:0001938,GO:0002548,GO:0002576,GO:0003104,GO:0005088,GO:0005161,GO:0005518,GO:0005576,GO:0005615,GO:0005737,GO:0005788,GO:0005796,GO:0006468,GO:0007507,GO:0008083,GO:0008284,GO:0009611,GO:0009986,GO:0010512,GO:0010544,GO:0010628,GO:0010629,GO:0014068,GO:0014911,GO:0016176,GO:0016323,GO:0018105,GO:0018108,GO:0030198,GO:0030335,GO:0031093,GO:0031954,GO:0032091,GO:0032147,GO:0032148,GO:0035655,GO:0035793,GO:0038001,GO:0042056,GO:0042802,GO:0042803,GO:0043406,GO:0043410,GO:0043536,GO:0043552,GO:0045737,GO:0045840,GO:0045892,GO:0045893,GO:0046934,GO:0046982,GO:0048008,GO:0048146,GO:0048407,GO:0048661,GO:0050731,GO:0050921,GO:0051781,GO:0051897,GO:0060326,GO:0061098,GO:0062023,GO:0070374,GO:0070528,GO:0071363,GO:0071506,GO:0072126,GO:0072255,GO:0072593,GO:0090280,GO:1900127,GO:1902894,GO:1902895,GO:1904707,GO:1904754,GO:1905064,GO:1905176,GO:2000379,GO:2000573,GO:2000591
P10599	5000	50	GO:0000122,GO:0003723,GO:0004791,GO:0005634,GO:0005737,GO:0005829,GO:0006351,GO:0006662,GO:0007165,GO:0007267,GO:0008283,GO:0009314,GO:0015035,GO:0015037,GO:0016671,GO:0032148,GO:0033138,GO:0033158,GO:0043388,GO:0045454,GO:0046826,GO:0047134,GO:0051897,GO:0055114,GO:0070062,GO:1903206
P99999	5000	5	GO:0000159,GO:0005634,GO:0005739,GO:0005743,GO:0005758,GO:0005829,GO:0006122,GO:0006123,GO:0006470,GO:0007005,GO:0008635,GO:0020037,GO:0034599,GO:0045155,GO:0045333,GO:0046872,GO:0070469,GO:0097193
